32155796.L	INTERCONT HOTELS	NaN N/A	0.00(0.00%)	0
AAL.L	Anglo American plc	1,108.00 15:53	Up 42.50(3.99%)	5,224,448
ABF.L	Associated British Foods plc	2,463.00 10:53AM BST	Down 12.00 (0.48%)	576,744
ADM.L	Admiral Group plc	1,961.00 15:52	Up 4.00(0.20%)	231,923
AHT.L	Ashtead Group plc	1,303.00 15:48	Down 7.00 (0.53%)	831,406
ANTO.L	Antofagasta plc	540.50 10:54AM BST	Up 15.50(2.95%)	2,037,662
ARM.L	ARM Holdings plc	1,701.90 2 Sep 17:09	Up 1.90(0.11%)	33,234,967
AV.L	Aviva plc	448.10 15:53	Up 2.80(0.63%)	4,818,863
AZN.L	AstraZeneca PLC	4,849.50 15:53	Down 1.50(0.03%)	1,380,465
BA.L	BAE Systems plc	541.50 15:51	Up 1.50(0.28%)	4,379,979
BAB.L	Babcock International Group plc	1,014.71 15:52	Down 11.29 (1.10%)	601,491
BARC.L	Barclays PLC	184.40 15:53	Up 0.90(0.49%)	19,286,424
BATS.L	British American Tobacco p.l.c.	4,721.50 15:53	Up 43.00(0.92%)	2,647,257
BDEV.L	Barratt Developments plc	468.20 10:54AM BST	Down 7.40 (1.56%)	4,799,416
BKG.L	The Berkeley Group Holdings plc	2,351.76 15:53	Down 41.24 (1.72%)	393,344
BLND.L	The British Land Company PLC	600.50 15:53	Down 1.50 (0.25%)	1,374,728
BLT.L	BHP Billiton plc	1,258.00 15:53	Up 34.00(2.78%)	7,170,862
BNZL.L	Bunzl plc	2,230.00 15:52	Down 9.00 (0.40%)	483,081
BP.L	BP p.l.c.	494.15 10:54AM BST	Up 7.20(1.48%)	11,991,790
BRBY.L	Burberry Group plc	1,466.00 10:54AM BST	Up 3.00(0.21%)	1,676,268
BT-A.L	BT Group plc	389.85 15:53	Up 12.15(3.22%)	12,326,324
CCH.L	Coca-Cola HBC AG	1,822.00 15:51	Up 9.00(0.50%)	134,066
CCL.L	Carnival plc	3,804.00 15:53	Down 1.00(0.03%)	345,495
CNA.L	Centrica plc	215.67 10:54AM BST	Up 1.77(0.83%)	10,580,226
CPG.L	Compass Group PLC	1,479.00 15:52	Up 11.00(0.75%)	1,926,516
CPI.L	Capita plc	609.00 15:51	Down 6.50 (1.06%)	927,676
CRH.L	CRH plc	2,703.00 15:52	Down 20.00 (0.73%)	703,182
DC.L	Dixons Carphone plc	325.70 15:52	Down 1.30 (0.40%)	1,481,799
DCC.L	DCC plc	6,710.00 15:52	Up 5.00(0.07%)	150,430
DGE.L	Diageo plc	2,205.25 15:52	Up 27.25(1.25%)	2,591,563
DLG.L	Direct Line Insurance Group PLC	351.40 15:52	Down 0.20 (0.06%)	1,686,410
EXPN.L	Experian plc	1,568.00 15:53	Up 5.00(0.32%)	868,696
EZJ.L	easyJet plc	926.00 15:53	Down 5.50 (0.59%)	1,793,103
FRES.L	Fresnillo PLC	1,627.00 10:54AM BST	Up 14.00(0.87%)	605,590
GKN.L	GKN plc	314.90 15:52	Down 8.30 (2.57%)	6,466,503
GLEN.L	Glencore Plc	246.05 15:53	Up 8.45(3.56%)	54,964,916
GSK.L	GlaxoSmithKline plc	1,638.50 15:53	Down 2.50 (0.15%)	6,366,047
HIK.L	Hikma Pharmaceuticals PLC	1,842.00 15:53	Down 12.00 (0.65%)	312,450
HL.L	Hargreaves Lansdown plc	1,169.00 15:49	Down 6.00 (0.51%)	435,650
HMSO.L	Hammerson plc	563.00 15:52	Down 2.50 (0.44%)	1,960,888
HSBA.L	HSBC Holdings plc	629.40 10:54AM BST	Up 5.10(0.82%)	14,952,455
IAG.L	International Consolidated Airlines Group, S.A.	400.80 15:53	Down 3.90 (0.99%)	5,003,966
III.L	3i Group plc	663.50 15:50	0.00(0.00%)	928,222
IMB.L	Imperial Brands PLC	3,937.00 15:53	Up 7.00(0.18%)	1,145,287
