ACC.BO	ACC LTD
ADANIPORTS.BO	Adani Ports
AMBUJACEM.BO	Ambuja Cements
ASIANPAINT.BO	Asian Paints
AXISBANK.BO	Axis Bank
BANKBARODA.BO	Bank of Baroda
BHEL.BO	Bharat Heavy Electricals
BPCL.BO	Bharat Petroleum
BHARTIARTL.BO	Bharti Airtel
BOSCHLTD.BO	Bosch Ltd.
CAIRN.BO	Cairn India Ltd.
CIPLA.BO	Cipla Ltd.
COALINDIA.BO	Coal India Ltd.
DRREDDY.BO	Dr Reddys Laboratory Ltd.
GAIL.BO	Gail India Ltd.
GRASIM.BO	Grasim Industires Ltd.
HCLTECH.BO	HCL Technologies
HDFCBANK.NS	HDFC Bank Ltd.
HEROMOTOCO.BO	Hero Motocorp Ltd.
HINDALCO.BO	Hindalco Industries Ltd.
HINDUNILVR.BO	Hindustan Unilever Ltd.
HDFC.NS	Housing Development Finance Corp Ltd.
ITC.BO	ITC Ltd.
ICICIBANK.BO	ICICI Bank Ltd.
IDEA.BO	Idea Cellular Ltd.
INDUSINDBK.BO	Indusind Bank
INFY.BO	Infosys Ltd
KOTAKBANK.BO	Kotak Mahindra Bank Ltd
LT.BO	LARSEN & TOUBRO LTD.
LUPIN.BO	Lupin Ltd.
M&M.BO	Mahindra and Mahindra Ltd.
MARUTI.BO	Maruti Suzuki Ltd.
NTPC.BO	NTPC Ltd
ONGC.BO	Oil and Natural Gas Corp Ltd
POWERGRID.BO	Power Grid Corp of India Ltd
PNB.BO	Punjab National Bank
RELIANCE.NS	Reliance Industries Ltd.
SBIN.NS	State Bank of India
SUNPHARMA.BO	Sun Pharmaceuticals Industries Ltd
TCS.BO	Tata Consultancy Services Ltd
TATAMOTORS.BO	Tata Motors Ltd
TATASTEEL.BO	Tata Steel Ltd
TECHM.BO	Tech Mahindra
ULTRACEMCO.NS	Ultratech Cement Ltd
VEDL.BO	Vednta Ltd
WIPRO.BO	Wipro Ltd.
YESBANK.BO	Yes Bank Ltd
ZEEL.NS	Zee Entertainment Enterprises Ltd
